Sunny,Sunny,Sunny,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Rainy,Cold,High,Strong,Warm,Change,No
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Sunny,Sunny,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,No
Rainy,Cold,High,Strong,Warm,Change,No
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Sunny,Sunny,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,No
Rainy,Cold,High,Strong,Warm,Change,No
Sunny,Warm,High,Strong,Cool,Change,No
Sunny,Sunny,Sunny,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Rainy,Cold,High,Strong,Warm,Change,No
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Sunny,Sunny,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Rainy,Cold,High,Strong,Warm,Change,Yes
Sunny,Warm,High,Strong,Cool,Change,Yes
